group,area,percentage,label
11,415012.8588,0.0514,Open Water
12,433,0.0001,Perennial Ice/Snow
21,63472.8275,0.0079,Developed
22,77035.7725,0.0095,"Developed, Low Intensity"
23,54782.5451,0.0068,"Developed, Medium Intensity"
24,16096.1725,0.002,Developed High Intensity
31,65267.1373,0.0081,Barren Land (Rock/Sand/Clay)
41,843923.1451,0.1044,Deciduous Forest
42,1007111.58,0.1246,Evergreen Forest
43,198851.0784,0.0246,Mixed Forest
52,1769484.141,0.219,Shrub/Scrub
71,1100764.043,0.1362,Grassland/Herbaceous
81,574593.7608,0.0711,Pasture/Hay
82,1445933.318,0.1789,Cultivated Crops
90,356399.902,0.0441,Woody Wetlands
95,91045.3333,0.0113,Emergent Herbaceous Wetlands
